feature,delta_mae,std
lag_slot_mean,0.11385859472259038,0.004332232939033209
יום_ביטחוני,0.032792647714891925,0.00283722167737945
lag_status_slot_mean,0.028258738125974465,0.0017818091886921403
lag_program_mean,0.014073949549167769,0.0018838288272300795
משך תוכנית_דק,0.013154452523496956,0.002273378471835815
lag_comp_עכשיו_14_slot,0.012059994259700507,0.0011470041757610074
שעת התחלה_שעה,0.006075795699845943,0.0016705321217492688
lag_comp_כאן_11_slot,0.0045698979534172955,0.0008330406537053316
lag_comp_רשת_13_slot,0.0033571223590112276,0.0009129296051476004
lag_competitors_avg_slot,0.002164491256647527,0.00045542623213728817
lag_program_n,0.0020874658740343056,0.0006537075376582965
יום שידור,0.001251914578046115,0.0005579292783649373
lag_comp_קשת_12_slot,0.0008044373351508427,0.0013871555705490077
תג_ביטחוני,0.000649936817804997,0.0002656042583659478
חלקי-יום,0.000499104009655954,0.00033406837970235097
חודש,0.0,0.0
reception_pct,0.0,0.0
שבוע_בשנה,0.0,0.0
שבת,-0.00010984117417806027,0.0007409957658282318
is_rerun,-0.00022619735394734385,5.103467732522836e-05
סטטוס תוכנית,-0.0010144515821827905,0.000295973595444723
יום_בחודש,-0.0011164885322446972,0.0008673559606601544
lag_status_slot_n,-0.0012464965508419469,0.0004957983063133598
lag_slot_n,-0.001448758687637708,0.00041539227575979667
